"","STAND","PLOT","TEST","pre","post","GRAV","GRAV.CORR","PRE.INCUB.EXTRACT.DRY.MASS","POST.INCUB.EXTRACT.DRY.MASS","TIME.INTERVAL","CORRECTED.PRE","CORRECTED.POST","TURNOVER"
"36","Stand_9","Plot_21","Nitrate",0,1.2555,0.123254584582063,0.123254584582063,26.3330485520777,26.394420731157,28.7673611111111,0,2.85401224627285,0.0992100817050791
"37","Stand_100","Plot_70","Nitrate",0.0823696808510638,10.242,0.154371119625841,0.154371119625841,25.4576574436641,25.6056424977295,28.7569444444444,0.194133370754969,23.9993977911115,0.827809243306287
"38","Stand_20","Plot_28","Nitrate",0,0.009,0.158154811870626,0.158154811870626,25.3311217108129,25.3799487317244,27.7881944444444,0,0.0212766387240575,0.000765671867115901
"39","Stand_22","Plot_34","Nitrate",1.13386968085106,10.1285,0.192012217125935,0.192012217125935,24.3947671405338,24.3697195192647,28.7673611111111,2.78880222381886,24.9370945578424,0.769910463753623
"40","Stand_24","Plot_40","Nitrate",1.13236968085106,7.0915,0.190613777592959,0.190613777592959,24.3107245762179,24.344718797559,27.09375,2.79474108795295,17.4777126627835,0.541932053511623
"41","Stand_3","Plot_4","Nitrate",0,0,0.115347096801036,0.115347096801036,26.6138979398376,26.5891276585481,26.9722222222222,0,0,0
"42","Stand_31","Plot_46","Nitrate",0.00786968085106383,0,0.152341331651828,0.152341331651828,25.478076594541,25.51452591728,27.7638888888889,0.0185328295608076,0,-0.000667515622000073
"43","Stand_41","Plot_52","Nitrate",0.139369680851064,4.5495,0.0864479597316697,0.101471133455738,27.4357948733385,27.5381127018486,28.7604166666667,0.304790908725958,9.91244399917342,0.334058202348046
"44","Stand_50","Plot_58","Nitrate",0.0348696808510638,0,0.124319815603091,0.124319815603091,26.2905461761484,26.2730325724605,26.9791666666667,0.0795792083224928,0,-0.00294965405365224
"45","Stand_58","Plot_64","Nitrate",0,0.4705,0.120993234938345,0.120993234938345,26.4589826351209,26.3772350059702,27.1388888888889,0,1.07024106179478,0.0394356993087126
"46","Stand_6","Plot_10","Nitrate",0.834369680851064,4.8275,0.162385869038958,0.162385869038958,25.1468514397124,25.4065118203103,27.1458333333333,1.99079320013816,11.4006205199901,0.346639839871751
"47","Stand_7","Plot_16","Nitrate",0.0108696808510638,3.481,0.126851775650388,0.126851775650388,26.5419597237795,26.266044884885,27.1319444444444,0.0245716916855814,7.95171107471114,0.292169969581694
"48","Stand_9","Plot_22","Nitrate",0,0.0045,0.133369950298961,0.133369950298961,26.011034311727,26.0318334329198,28.7638888888889,0,0.0103719163959677,0.000360588112269276
"49","Stand_100","Plot_71","Nitrate",0.175140957446809,9.3615,0.148190989807039,0.148190989807039,25.5644920139111,25.5568257328194,28.7534722222222,0.41105676737446,21.9780815454985,0.750066795809652
"50","Stand_20","Plot_29","Nitrate",0.00264095744680851,0,0.156965409936077,0.156965409936078,25.2918807365077,25.4090625445266,27.7847222222222,0.00626515079915683,0,-0.000225489056505519
"51","Stand_22","Plot_35","Nitrate",1.71464095744681,11.4745,0.252703224565309,0.252703224565309,22.4824234889527,22.5541639793944,28.7708333333333,4.57595051962973,30.5251837589276,0.901928454370962
"52","Stand_24","Plot_41","Nitrate",1.51864095744681,6.3605,0.177819493602309,0.177819493602309,24.8857595676453,24.7517441451025,27.0868055555556,3.66146981365497,15.4183074034204,0.434042972164137
